transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount,type
OPLW560U3S06UG,3536759468239783,dki,Shakila Maryadi,F,1988,9A,PGC 2 - Grogol 2,1.0,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,2023-04-03 06:15:04,P00216,Semanggi,-6.22111,106.81354,6.0,2023-04-03 07:08:31,3500.0,Non-BRT
XESX233R4U46DN,6575130739600630,dki,Danuja Usada,F,2002,4,Pulo Gadung 2 - Tosari,1.0,P00159,Pasar Rumput,-6.207125,106.84112,2,2023-04-03 06:12:14,P00135,Matraman 2,-6.19891,106.8545,4.0,2023-04-03 07:07:35,3500.0,BRT
LZFD368Q3E81HJ,4056836188316,online,Nadine Utami,M,1975,JAK.46,Pasar Minggu - Jagakarsa,1.0,B00608P,Gelanggang Remaja Pasar Minggu,-6.284615,106.83787,5,2023-04-03 05:38:44,B01062P,Jln. Gabus Raya,-6.301222,106.83623,17.0,2023-04-03 06:09:17,0.0,Jaklingo
KLUN542I2F21PI,4532407180860336,dki,H. Lutfan Nurdiyanti,M,2011,S22,Ciputat - Kampung Rambutan,0.0,B05291P,SMK Darussalam,-6.319946,106.74598,1,2023-04-03 06:43:20,B03032P,Pusdiklat Kemenag 1,-6.312075,106.75228,3.0,2023-04-03 07:07:17,3500.0,Non-BRT
XDMP644Z5Y29DB,4556326832434362836,brizzi,Sari Nababan,F,2004,13,Ciledug - Tendean,1.0,P00096,JORR,-6.236104,106.75488,10,2023-04-03 06:49:48,P00001,Adam Malik,-6.236466,106.74786,11.0,2023-04-03 07:47:42,3500.0,BRT
CUPO258C0D42PY,4969284110642,online,"Hj. Ophelia Haryanti, S.Sos",M,2002,9E,Kebayoran Lama - Jelambar,1.0,B00058P,Apartemen Simprug Teras,-6.232197,106.78874,19,2023-04-03 05:41:28,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,20.0,2023-04-03 06:35:41,3500.0,Non-BRT
SBPQ144H4S45RA,502034641014,flazz,"Adikara Kurniawan, S.Sos",M,2003,M9,Pinang Ranti - Pluit,1.0,P00093,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,2023-04-03 06:24:23,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,16.0,2023-04-03 07:07:12,3500.0,BRT
ZYRL615G4C05RD,5430018591726410,dki,Karna Waskita,M,1981,JAK.88,Terminal Tanjung Priok - Ancol Barat,0.0,B00722P,Gunung Sahari Mangga Dua Timur,-6.137032,106.83254,20,2023-04-03 06:43:49,B05989P,Jln. Ancol Barat 6,-6.12481,106.81983,36.0,2023-04-03 07:30:45,0.0,Jaklingo
MEFW094B7A84RS,378872365541693,emoney,Aslijan Irawan,F,2009,T11,Poris Plawad - Bundaran Senayan,1.0,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,2023-04-03 05:13:08,B05720P,Term. Poris Plawad,-6.172859,106.66501,24.0,2023-04-03 06:08:59,3500.0,Non-BRT
ZJVI960B9I42DA,343851798729291,emoney,Garang Utama,F,1997,JAK.16,Cililitan - Condet,0.0,B02144P,Lippo Mall Kramat Jati,-6.270835,106.86741,4,2023-04-03 05:08:36,B01393P,Jln. Mesjid Al Mabruk,-6.28435,106.85293,20.0,2023-04-03 05:30:45,0.0,Jaklingo
RJPK085I1K65HR,676293109036,flazz,Fathonah Saefullah,M,1983,6V,Ragunan - Gelora Bung Karno,0.0,P00259,Tirtayasa,-6.239207,106.80777,12,2023-04-03 06:44:28,P00133,Masjid Agung,-6.236483,106.79845,13.0,2023-04-03 07:11:25,3500.0,Non-BRT
TFIO518N2X54UT,213191293100137,emoney,Darman Purwanti,M,1999,11Q,Kampung Melayu - Pulo Gebang via BKT,0.0,B02335P,Masjid Jami At Taqwa 2,-6.229704,106.8962,18,2023-04-03 06:45:03,B05256P,SMAN 100,-6.228401,106.88494,21.0,2023-04-03 07:06:05,3500.0,Non-BRT
SYLN486U0E02TA,2295833910329055,dki,Taufik Farida,F,1981,JAK.02,Kampung Melayu - Duren Sawit,0.0,B05023P,Simpang Pahlawan Revolusi 1,-6.238658,106.899461,28,2023-04-03 05:43:14,B03135P,RS Duren Sawit 2,-6.232262,106.91019,39.0,2023-04-03 06:12:52,0.0,Jaklingo
BECP746A8C28NV,4968156435384914,dki,Martana Suartini,F,2007,11,Pulo Gebang - Matraman,0.0,P00233,St. Jatinegara 2,-6.215601,106.86805,13,2023-04-03 05:48:55,P00086,Jatinegara RS Premier,-6.221412,106.86807,14.0,2023-04-03 06:33:42,3500.0,BRT
KYNP204W3G29VA,676367323901,flazz,Eluh Nugroho,F,2011,1C,Pesanggrahan - Blok M,0.0,B05833P,Univ. Moestopo Bintaro,-6.258469,106.76529,1,2023-04-03 06:00:19,B00147P,Bintaro Park VIew,-6.257977,106.75969,5.0,2023-04-03 06:23:52,3500.0,Non-BRT
MSFD430X8W13TO,4384653483539395,dki,"Cut Hana Maulana, S.H.",F,1979,3B,Rusun Flamboyan - Cengkareng,0.0,B06299P,Jln. Kayu Besar Dalam,-6.122739,106.73129,2,2023-04-03 05:49:39,B02195P,Mall Taman Palem 3,-6.140548,106.73011,6.0,2023-04-03 06:42:12,0.0,Non-BRT
MKND874X1D96HF,213155309116759,emoney,Tgk. Ilsa Farida,M,1983,R1A,Pantai Maju - Kota,0.0,B06040P,Pantai Maju,-6.093637,106.75068,0,2023-04-03 05:45:14,B03322P,SD Diakonia 1,-6.112155,106.7893,23.0,2023-04-03 06:22:28,3500.0,Non-BRT
LFYJ535S2I30DP,4682220924642,online,"Drs. Nadia Ramadan, S.Sos",M,1960,M1,Blok M - Kota,0.0,P00183,Polda Metro Jaya,-6.221094,106.81028,5,2023-04-03 06:15:29,P00104,Karet Sudirman,-6.212457,106.82003,7.0,2023-04-03 06:50:32,3500.0,BRT
KQIA358G2N38CX,4394677357168120,dki,"Ibrahim Prayoga, S.H.",F,2001,7E,Kampung Rambutan - Ragunan,0.0,B02831P,Phe Tower Kebagusan,-6.299876,106.83323,16,2023-04-03 05:11:09,B02868P,Plaza Oleos,-6.29771,106.82965,17.0,2023-04-03 05:38:49,3500.0,Non-BRT
RANO576G1J87EO,4905734029265594,dki,Ega Andriani,F,1990,1P,Senen - Blok M,0.0,B00102P,Balai Kota 1,-6.180598,106.82847,12,2023-04-03 06:26:34,B00221P,Bundaran Senayan 1,-6.227445,106.80187,29.0,2023-04-03 06:51:21,3500.0,Non-BRT
NZCE828E4J23AW,379334845079777,emoney,Salman Ramadan,M,1968,7D,Pancoran - Kampung Rambutan,0.0,P00039,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,2023-04-03 06:44:26,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13.0,2023-04-03 07:28:00,3500.0,Non-BRT
OFPJ170M5O75AP,346910704516122,emoney,Zizi Nasyiah,M,1985,6H,Senen - Lebak Bulus,1.0,P00128,Lebak Bulus,-6.289413,106.77415,0,2023-04-03 05:12:22,P00121,Kuningan Timur,-6.234731,106.82902,15.0,2023-04-03 05:35:33,3500.0,Non-BRT
LKXU174O1E59EP,2247096843683316,dki,"Tgk. Aris Pradipta, M.M.",F,2010,14,Jakarta International Stadium - Senen,1.0,B01311P,Jln. Kwitang Timur,-6.173788,106.85185,2,2023-04-03 06:47:20,B03885P,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3.0,2023-04-03 07:34:23,3500.0,BRT
AXTN077R7Z77JM,675990206087,flazz,Margana Narpati,F,1989,BW9,Monas - Pantai Indah Kapuk,1.0,B02476P,Monas 2,-6.175999,106.82311,7,2023-04-03 06:29:57,B02477P,Monas 3,-6.178787,106.82304,8.0,2023-04-03 07:24:08,0.0,Non-BRT
WQXL397G5U61OY,639040388584,flazz,"Galang Megantara, S.Ked",M,1989,JIS3,Harmoni - Jakarta International Stadium,0.0,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,2023-04-03 06:32:51,P00161,Pecenongan,-6.16771,106.82819,12.0,2023-04-03 07:20:21,3500.0,Non-BRT
RLLZ887W3V14WZ,4947438345710982,dki,Rahayu Rahayu,F,2006,5M,Kampung Melayu - Tanah Abang via Cikini,1.0,B02994P,PTUN Jakarta,-6.196388,106.84025,16,2023-04-03 05:29:43,B05707P,Term. Kampung Melayu 2,-6.224516,106.86685,30.0,2023-04-03 05:58:35,3500.0,Non-BRT
JJEK861K6E37KF,3539535695881465,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 05:28:22,P00137,Monas,-6.176248,106.82286,19.0,2023-04-03 06:02:36,3500.0,BRT
UANX737M9L25GI,574726750023,flazz,drg. Lukita Rajata,F,1983,JAK.15,Bulak Turi - Tanjung Priok,0.0,B02761P,Pertamina Kilang Minyak,-6.108789,106.90537,41,2023-04-03 05:12:53,B01056P,Jln. Elpa Putih II,-6.110053,106.88721,50.0,2023-04-03 05:50:10,0.0,Jaklingo
VUWZ891M7I57EB,344303671677311,emoney,"R. Mila Wahyuni, S.Sos",F,2006,R1A,Pantai Maju - Kota,1.0,B00917P,Jln. BB Utara,-6.120279,106.79409,12,2023-04-03 06:50:06,B00242P,Centro Metro Broadway,-6.116362,106.76143,29.0,2023-04-03 07:30:53,3500.0,Non-BRT
CXLW459Z3A28RD,3544931989278653,dki,"Artawan Iswahyudi, M.Pd",M,1991,6N,Ragunan - Blok M via Kemang,0.0,B00039P,Ampera Garden,-6.288794,106.81818,6,2023-04-03 05:43:45,B00066P,Arsip Nasional RI 1,-6.279439,106.81987,10.0,2023-04-03 06:19:50,3500.0,Non-BRT
AQPU510X2X44PT,4017802962833960,dki,Aurora Hasanah,F,1990,M11,Pulo Gebang - Pulo Gadung 2,0.0,P00102,Kampung Sumur,-6.214412,106.91189,6,2023-04-03 06:02:30,P00058,Flyover Klender,-6.213596,106.90306,7.0,2023-04-03 06:30:30,3500.0,BRT
BRUT293K1O98GA,5465310774429054,dki,Hj. Rahmi Hartati,F,2010,JAK.112,Terminal Tanah Merah - Pulo Gadung,0.0,B01067P,Jln. Gading Mas Barat IV,-6.167384,106.91019,14,2023-04-03 06:59:14,B04854P,Simpang Jln. Bongo Raya,-6.170743,106.91001,17.0,2023-04-03 07:32:35,0.0,Jaklingo
MMEX885R3T18QL,347394043585982,emoney,Darmaji Wahyuni,F,2003,9N,Pinang Ranti - Pramuka,0.0,P00064,Garuda Taman Mini,-6.290154,106.88116,1,2023-04-03 05:49:25,P00016,BKN,-6.257751,106.87,2.0,2023-04-03 06:39:28,3500.0,Non-BRT
UNFK619O2R74DX,4723250872219869,dki,Cager Setiawan,M,1965,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,B03675P,Sbr. Jln. Cikoko Timur I,-6.244364,106.85867,19,2023-04-03 05:04:52,B05440P,St. Duren Kalibata 4,-6.255071,106.85506,23.0,2023-04-03 05:47:58,0.0,Jaklingo
FTGY161E2O14MG,3545499820365948,dki,Cawuk Mayasari,F,2002,JAK.42,Kampung Melayu - Pondok Kelapa,1.0,B03484P,Sbr. Dirjen Anggaran,-6.227253,106.898692,18,2023-04-03 05:35:17,B03953P,Sbr. Klinik Win Medika,-6.22016,106.89843,22.0,2023-04-03 05:56:59,0.0,Jaklingo
ELVU605Z3W26IF,2718070346782735,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0.0,P00202,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 06:35:17,P00161,Pecenongan,-6.16771,106.82819,18.0,2023-04-03 07:17:52,3500.0,BRT
KPDA909R2T72GD,342531623551844,emoney,Zulaikha Yulianti,F,1991,13,Ciledug - Tendean,1.0,P00044,CSW 1,-6.23994,106.79843,3,2023-04-03 05:51:57,P00268,Velbak,-6.239433,106.78552,5.0,2023-04-03 06:16:13,3500.0,BRT
GIHF067H1Y81IV,349944373495091,emoney,Oliva Sirait,M,1983,7P,Pondok Kelapa - BKN,1.0,B02032P,Komplek Dolog Jaya,-6.24794,106.91572,15,2023-04-03 06:08:12,B01624P,Jln. Swakarsa III Pondok Kelapa,-6.244759,106.94249,30.0,2023-04-03 06:40:53,3500.0,Non-BRT
IXJW013G5W79VX,4428582927102421723,brizzi,"dr. Belinda Handayani, S.E.",M,2002,JAK.02,Kampung Melayu - Duren Sawit,0.0,B02665P,Ps. Pondok Bambu 1,-6.238102,106.90243,29,2023-04-03 06:36:49,B00636P,Gereja Santa Anna 1,-6.233953,106.90998,33.0,2023-04-03 07:13:58,0.0,Jaklingo
PKAM574R5S22UG,566171543168,flazz,Laila Simanjuntak,F,1992,11,Pulo Gebang - Matraman,1.0,P00151,Pasar Enjo,-6.214881,106.87819,3,2023-04-03 05:13:45,P00080,Imigrasi Jakarta Timur,-6.214632,106.88227,4.0,2023-04-03 06:02:58,3500.0,BRT
IQBJ843C4G34DE,213121690546749,emoney,Pranata Wahyudin,F,2009,JAK.36,Cilangkap - Cililitan,0.0,B02638P,Ps. Kramat Jati 2,-6.269037,106.86664,40,2023-04-03 05:58:04,B01428P,Jln. Olahraga 1 Raya Bogor,-6.267006,106.86595,41.0,2023-04-03 06:39:16,0.0,Jaklingo
SRIX686S0S08SW,3527853482331808,dki,Puti Paris Marpaung,M,2003,13B,Puri Beta - Pancoran Barat,1.0,P00106,Kebayoran Lama,-6.23834,106.77752,8,2023-04-03 06:33:41,P00096,JORR,-6.236104,106.75488,12.0,2023-04-03 07:29:36,3500.0,Non-BRT
MLTY652D7F29HW,5542490449138301,dki,Sutan Narji Nasyidah,M,2001,1Q,Rempoa - Blok M,1.0,B02540P,One Park Residences,-6.245436,106.78844,9,2023-04-03 06:51:28,B00959P,Jln. Bungur,-6.247708,106.7814,11.0,2023-04-03 07:29:33,3500.0,Non-BRT
NICD824U6H93DE,4380875529452127,dki,Tirtayasa Sitorus,F,1988,JAK.06,Kampung Rambutan - Pondok Gede,0.0,B01301P,Jln. Kramat Lubang Buaya,-6.291363,106.90599,12,2023-04-03 05:37:47,B02767P,Pertigaan Cedang 1,-6.301603,106.9125,24.0,2023-04-03 06:06:12,0.0,Jaklingo
YEOK544W1J67OX,4172238784006231,dki,"Galak Prayoga, S.Pd",M,1993,JAK.14,Tanah Abang - Meruya,1.0,B01875P,Kec. Kembangan,-6.195068,106.74247,7,2023-04-03 05:33:47,B01180P,Jln. Jeruk Manis,-6.197439,106.76534,18.0,2023-04-03 06:13:36,0.0,Jaklingo
OPNL705D9K64FN,340065298083181,emoney,Tgk. Garda Utami,F,2010,M7,Kampung Rambutan - Monas,0.0,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,14,2023-04-03 05:43:23,P00025,Bundaran HI,-6.193021,106.823,24.0,2023-04-03 06:16:38,3500.0,BRT
KHKM512K0T88LD,4268640600849949,dki,"Elvina Situmorang, S.Psi",F,1985,JAK.15,Bulak Turi - Tanjung Priok,0.0,B05351P,SMPN 143,-6.108442,106.93549,16,2023-04-03 05:15:03,B01325P,Jln. Lorong 22,-6.108141,106.89932,44.0,2023-04-03 05:51:14,0.0,Jaklingo
RHUT145C1U25ZY,4290559479079,online,Lutfan Hakim,M,2011,T21,Palem Semi - Bundaran Senayan,1.0,B00589P,GBK Pintu 7,-6.222095,106.80861,3,2023-04-03 05:43:48,B02556P,Palem Semi 1,-6.218812,106.61807,14.0,2023-04-03 06:09:12,20000.0,RoyalTrans
TWAK265Z0M88QR,213155263532652,emoney,Restu Waluyo,F,1984,12A,Pelabuhan Kaliadem - Kota,0.0,B05324P,SMKN 56,-6.119094,106.79423,9,2023-04-03 06:13:03,P00138,Museum Fatahillah,-6.13393,106.81209,18.0,2023-04-03 06:50:23,3500.0,Non-BRT
JQIF022K9P74RM,4294484188649274,dki,Gara Sitompul,F,1999,9D,Pasar Minggu - Tanah Abang,0.0,B00693P,Grand Pasar Minggu,-6.290648,106.84236,45,2023-04-03 06:46:54,B02647P,Pasar Minggu,-6.284413,106.84414,47.0,2023-04-03 07:09:23,3500.0,Non-BRT
MQCN972F9X71NY,180057903365395,emoney,Daryani Prabowo,M,1989,1,Blok M - Kota,1.0,P00104,Karet Sudirman,-6.212457,106.82003,14,2023-04-03 06:20:11,P00133,Masjid Agung,-6.236483,106.79845,19.0,2023-04-03 07:10:56,3500.0,BRT
KINJ335N6L86YT,3551174827324245,dki,Gangsa Widodo,M,1966,3A,Rusun Pesakih - Kalideres,1.0,B02760P,Pertamina Kalideres Daan Mogot,-6.15571,106.70927,2,2023-04-03 06:38:56,B03286P,Rusun Pesakih,-6.161468,106.71698,4.0,2023-04-03 07:03:11,0.0,Non-BRT
TDIY341Y5S79UU,340858239719917,emoney,"Yance Pratama, S.Kom",F,1994,6N,Ragunan - Blok M via Kemang,1.0,B04209P,Sbr. Plaza Kemang 88,-6.270024,106.81553,12,2023-04-03 06:51:56,B03197P,RSIA Kemang,-6.285839,106.8188,18.0,2023-04-03 07:17:19,3500.0,Non-BRT
TFRA396G6W78PD,3569562588766630,dki,"dr. Sakura Budiman, S.IP",M,1972,3C,Rusun Kapuk Muara - Penjaringan,1.0,P00170,Penjaringan,-6.126306,106.79203,0,2023-04-03 06:16:29,B03277P,Rusun Kapuk Muara,-6.135667,106.76299,1.0,2023-04-03 07:11:37,0.0,Non-BRT
GXOP506G9B61EP,180016859215889,emoney,"Zalindra Irawan, M.TI.",M,1992,M8,Lebak Bulus - Pasar Baru,0.0,P00245,Tanah Kusir Kodim,-6.256997,106.78168,20,2023-04-03 05:19:06,P00184,Pondok Indah 1,-6.286761,106.77999,22.0,2023-04-03 05:47:40,3500.0,BRT
XESL868N6A66XN,373945281501952,emoney,"Jamal Pudjiastuti, S.I.Kom",F,1981,B21,Bekasi Timur - Cawang,1.0,B02263P,Masjid Amar Maruf 2,-6.255062,107.02206,7,2023-04-03 05:02:15,B05622P,Taman Margahayu 2,-6.24846,107.02153,10.0,2023-04-03 05:57:31,3500.0,Non-BRT
IVHH403J9T51JH,5134532253940704,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1.0,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-03 06:12:41,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18.0,2023-04-03 07:12:09,3500.0,Non-BRT
YJMS457L2O20JF,379764016867073,emoney,Saka Sihombing,F,1969,JAK.71,Kampung Rambutan - Pinang Ranti,0.0,B03360P,SDN Dukuh 01,-6.287794,106.87406,18,2023-04-03 05:12:37,B04218P,Sbr. Polsek Makasar,-6.29086,106.8844,21.0,2023-04-03 06:06:48,0.0,Jaklingo
NNAE999Q4V92XM,4189640459822695962,brizzi,Mutia Mayasari,M,1978,JAK.77,Tanjung Priok - Jembatan Item,0.0,B06877P,Simpang Jln. Cemara,-6.12663,106.85721,1,2023-04-03 05:11:15,B06065P,Puskesmas Sunter Agung I,-6.132513,106.85557,9.0,2023-04-03 05:35:24,0.0,Jaklingo
UCMI767D7M79GS,4766007569419196,dki,"Danu Suartini, S.Farm",M,2010,M3,Kalideres - Bundaran HI via Veteran,1.0,P00237,Sumur Bor,-6.153046,106.71929,2,2023-04-03 06:49:46,P00009,Bank Indonesia Arah Selatan,-6.184784,106.82326,14.0,2023-04-03 07:21:09,3500.0,BRT
ZHFN555D9L05LU,3576239635494729,dki,Harsaya Natsir,F,1970,JAK.44,Andara - Stasiun Universitas Pancasila,0.0,B04386P,Sbr. Sekolah Islam Al Azhar Jagakarsa,-6.330035,106.82621,25,2023-04-03 05:50:00,B06832P,Gg. H. Ali,-6.327369,106.833219,34.0,2023-04-03 06:37:49,0.0,Jaklingo
WHTZ386I9S44YF,587887634588,flazz,Drs. Harjo Nurdiyanti,M,1986,14,Jakarta International Stadium - Senen,0.0,B00292P,Danau Agung 1,-6.147281,106.8582,8,2023-04-03 06:42:45,B00770P,Honda Letjen Suprapto,-6.174933,106.84973,16.0,2023-04-03 07:08:03,3500.0,BRT
VHUC320U1S58CB,567286069354,flazz,"Dt. Atmaja Suartini, M.Farm",F,2000,JAK.48B,Stasiun Tebet - Kampung Melayu,0.0,B02272P,Masjid As Sudairi,-6.220626,106.8591,1,2023-04-03 06:12:01,B01732P,Jatinegara Timur,-6.220486,106.86825,11.0,2023-04-03 06:57:35,0.0,Jaklingo
DBWI728C0M55ND,4097122165824,online,Dewi Mansur,M,1994,8K,Batusari - Grogol,1.0,B05177P,Simpang Tj. Duren Timur 5,-6.180482,106.78375,12,2023-04-03 06:41:08,B03637P,Sbr. Jln. Angsana Kemanggisan,-6.194813,106.78213,16.0,2023-04-03 07:20:00,3500.0,Non-BRT
HHCJ093F0W41XK,378851219912235,emoney,Tina Hutasoit,F,1981,JAK.19,Pinang Ranti - Kampung Rambutan,0.0,B00563P,Gg. Suka Damai,-6.295718,106.89906,14,2023-04-03 05:57:05,B01297P,Jln. Kramat I Rawabinong,-6.298205,106.9054,27.0,2023-04-03 06:49:41,0.0,Jaklingo
JUNS207R4F95UA,180022972730457,emoney,"Tgk. Tania Zulaika, M.Pd",F,2010,M10,PGC 2 - Tanjung Priok,1.0,P00287,Permai Koja Arah Selatan,-6.114359,106.89314,2,2023-04-03 05:59:19,P00105,Kayu Putih Rawasari,-6.187453,106.87542,10.0,2023-04-03 06:47:17,3500.0,BRT
LFIW578V8Y12XO,2237440645700724,dki,Latika Sirait,M,1953,10D,Kampung Rambutan - Tanjung Priok,1.0,P00036,Cempaka Putih,-6.174207,106.87642,9,2023-04-03 06:03:33,P00182,Plumpang Pertamina Arah Utara,-6.12848,106.8937,13.0,2023-04-03 06:28:37,3500.0,Non-BRT
GYVC538M6B25WO,6011162006507240,dki,Lasmanto Budiman,M,1989,JAK.75,Cililitan - Kp. Pulo,0.0,B00671P,Graha Dirgantara,-6.255702,106.88296,4,2023-04-03 05:42:25,B03786P,Sbr. Jln. Masjid Al Munir,-6.271471,106.87734,25.0,2023-04-03 06:21:13,0.0,Jaklingo
QRFR658M6P01AH,4730280883020443501,brizzi,Zamira Puspita,M,1977,B11,Summarecon Bekasi - BNN,0.0,B01728P,Jatibening 1,-6.257161,106.94651,5,2023-04-03 06:08:56,B00232P,Cawang Blue Bird,-6.248836,106.87801,6.0,2023-04-03 06:41:37,3500.0,Non-BRT
TKQW976R2D32RY,3505707886664931,dki,T. Bagas Halimah,F,1994,JAK.52,Terminal Kalideres - Terminal Muara Angke,0.0,B01829P,Karang Asri,-6.112414,106.77306,26,2023-04-03 05:21:39,B05714P,Term. Muara Angke 2,-6.109001,106.77349,27.0,2023-04-03 06:12:00,0.0,Jaklingo
PCGM443G2W62OB,4450403105752326,dki,"Dr. Intan Mulyani, S.E.I",M,1977,JAK.37,Cililitan - Condet via Kayu Manis,0.0,B00908P,Jln. Batu Permata V,-6.279588,106.86244,12,2023-04-03 05:36:10,B04716P,Simpang Batu Ampar IV Inerbang,-6.28148,106.86361,14.0,2023-04-03 06:25:54,0.0,Jaklingo
PEGV120E5W96OH,4074114259011835374,brizzi,Vero Hutagalung,F,1983,JAK.31,Blok M - Andara,0.0,B03711P,Sbr. Jln. H. Jian 2B Cipete,-6.264625,106.8043,18,2023-04-03 06:07:43,B05388P,SMPN 68,-6.278279,106.79964,30.0,2023-04-03 06:44:41,0.0,Jaklingo
BUQT197K3D65PN,4000041838802,online,Diah Marpaung,M,2012,11M,Rusun Rawa Bebek - Bukit Duri,0.0,P00169,Penggilingan,-6.214132,106.93961,2,2023-04-03 05:32:18,P00174,Perumnas Klender,-6.216689,106.93054,3.0,2023-04-03 06:27:22,0.0,Non-BRT
UNSO267V8F26WP,4112330548313,online,"Drs. Gilda Sinaga, S.Psi",M,1994,JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,B06086P,Tebet Eco Park Selatan 3,-6.241699,106.85365,1,2023-04-03 06:23:34,B06268P,Rusun Harum Tebet,-6.235196,106.85195,4.0,2023-04-03 07:14:33,0.0,Jaklingo
